state,alt,accX,temp
0,-120,57,637
0,-12,68,623
0,-28,104,629
0,-70,101,631
0,12,83,637
0,-37,107,644
0,-95,103,652
0,-153,102,658
0,-86,102,671
0,-12,102,682
0,54,56,693
0,-3,28,701
0,137,6,700
0,87,23,706
0,137,23,724
0,54,54,743
0,70,75,760
0,62,58,777
0,153,104,791
0,112,102,808
0,112,102,824
0,78,102,835
0,128,102,842
0,128,102,842
0,28,102,842
0,103,102,838
0,120,102,833
0,145,102,822
0,70,102,809
0,120,102,794
0,219,101,794
0,145,102,797
0,195,103,789
0,203,102,774
0,128,102,762
0,120,102,755
0,211,102,745
0,145,102,733
0,261,102,727
0,186,100,732
0,120,102,729
0,54,102,718
0,87,102,706
0,137,102,700
0,170,102,687
0,5106,3,679
PRE_LAUNCH->ASCENT,,,
1,4806,0,679
1,3997,-1,679
1,2415,-5,676
1,-28,35,662
DEPLOY side chute,,,
2,-12,-10,658
2,45,-20,650
2,-37,37,644
2,12,9,637
2,-45,36,633
